epoch	loss	acc	val_loss	val_acc
0	1.966625	0.246528	1.515467	0.255319
1	1.590621	0.270833	1.362471	0.425532
2	1.506260	0.278986	1.354207	0.404255
3	1.353530	0.343750	1.292057	0.468085
4	1.384065	0.361111	1.279398	0.489362
5	1.375504	0.333333	1.248528	0.531915
6	1.328551	0.402174	1.209476	0.404255
7	1.254515	0.399306	1.178654	0.468085
8	1.259751	0.440972	1.162082	0.531915
9	1.231826	0.479167	1.151487	0.531915
10	1.123924	0.524306	1.130234	0.553191
11	1.164788	0.520833	1.112197	0.510638
12	1.131569	0.518116	1.100604	0.574468
13	1.143356	0.513889	1.081473	0.595745
14	1.082141	0.541667	1.059384	0.617021
